問題,解答,選択肢,識別番号1,識別番号2,識別番号3
称賛,悪罵,あくば,2818,,
深淵,浅瀬,あさせ,1542,,
明朗,暗鬱,あんうつ,1512,,
聡明,暗愚,あんぐ,1534,,
危胎,安泰,あんたい,2761,,
懸念,安堵,あんど,1565,,
憂慮,安堵,あんど,3746,3980,
慰撫,威嚇,いかく,1444,,
軽侮,畏敬,いけい,1516,,
熟視,一瞥,いちべつ,1581,,
遵奉,違背,いはい,1514,,
軽侮,畏怖,いふ,1465,,
威嚇,慰撫,いぶ,1444,,
暴露,隠蔽,いんぺい,1558,,
卑近,迂遠,うえん,1470,,
直進,迂回,うかい,2794,2832,
賢明,迂愚,うぐ,3775,,
爽快,鬱屈,うっくつ,1606,,
捷径,迂路,うろ,2762,,
瞬間,永劫,えいごう,2765,,
刹那,永劫,えいごう,1538,,
仮寓,永住,えいじゅう,1609,,
愚昧,英明,えいめい,1493,3981,
恩愛,怨恨,えんこん,3748,,
楽天,厭世,えんせい,1541,,
枯渇,横溢,おういつ,3750,,
狭量,鷹揚,おうよう,2810,,
豪胆,臆病,おくびょう,1458,3765,
怨恨,恩愛,おんあい,3748,,
仇敵,恩人,おんじん,1490,,
明快,晦渋,かいじゅう,1536,,
痛恨,会心,かいしん,1607,,
必然,蓋然,がいぜん,2829,,
峻拒,快諾,かいだく,1509,,
蒙昧,該博,がいはく,2763,2817,
失墜,回復,かいふく,1437,,
野鳥,家禽,かきん,2842,,
永住,仮寓,かぐう,1609,,
催眠,覚醒,かくせい,1494,,
昏睡,覚醒,かくせい,2792,,
喪失,獲得,かくとく,2770,,
鎮撫,攪乱,かくらん,1461,,
優柔,果断,かだん,3767,,
死蔵,活用,かつよう,1563,,
峻厳,寛容,かにょう,1467,,
追従,諫言,かんげん,1443,,
真作,贋作,がんさく,1585,,
繁劇,閑散,かんさん,1557,,
放任,干渉,かんしょう,1518,,
脆弱,頑丈,がんじょう,1540,,
峻烈,寛大,かんだい,2813,,
挫折,貫徹,かんてつ,1464,,
喬木,灌木,かんぼく,2788,,
微賤,貴顕,きけん,3977,,
竣成,起工,きこう,4116,,
定石,奇手,きしゅ,1612,,
安泰,危胎,きたい,2761,,
真蹟,偽筆,ぎひつ,1555,,
悠悠,汲汲,きゅうきゅう,3751,,
平坦,急峻,きゅうしゅん,1582,,
恩人,仇敵,きゅうてき,1490,,
斬新,旧套,きゅうとう,2781,,
軟弱,強硬,きょうこう,3745,,
豊稔,凶荒,きょうこう,3776,,
瞥見,凝視,ぎょうし,1489,,
脆弱,強靱,きょうじん,1457,3747,
歪曲,匡正,きょうせい,2816,,
進捗,凝滞,ぎょうたい,2830,,
瑞祥,凶兆,きょうちょう,3769,,
灌木,喬木,きょうぼく,2788,,
大度,狭量,きょうりょう,1459,,
鷹揚,狭量,きょうりょう,2810,,
斜陽,旭日,きょくじつ,3773,,
悲傷,欣悦,きんえつ,1589,,
愁傷,欣快,きんかい,1614,,
莫大,僅少,きんしょう,1445,1510,
懸隔,近接,きんせつ,3754,,
弛緩,緊張,きんちょう,1488,,
聡明,愚鈍,ぐどん,4114,,
英明,愚昧,ぐまい,1493,3981,
聡明,愚昧,ぐまい,1588,,
畏怖,軽侮,けいぶ,1465,,
畏敬,軽侮,けいぶ,1516,,
冷静,激昂,げきこう,2839,,
痛罵,激賞,げきしょう,1605,,
安堵,懸念,けねん,1565,,
近接,懸隔,けんかく,3754,,
消沈,軒昂,けんこう,3774,,
伯仲,懸絶,けんぜつ,1608,,
平坦,険阻,けんそ,1539,4115,
静寂,喧騒,けんそう,1442,,
出家,還俗,げんぞく,1603,4112,
遁世,還俗,げんぞく,1586,,
剃髪,還俗,げんぞく,2815,,
迂愚,賢明,けんめい,3775,,
不遜,謙抑,けんよく,2785,,
繊弱,堅牢,けんろう,3768,,
和睦,抗争,こうそう,3771,,
臆病,豪胆,ごうたん,1458,3765,
蒼白,紅潮,こうちょう,1515,,
弛緩,硬直,こうちょく,2811,,
肥沃,荒蕪,こうぶ,1535,1587,
偏頗,公平,こうへい,1508,,
凋落,興隆,こうりゅう,1486,,
湧出,枯渇,こかつ,1440,1562,
潤沢,枯渇,こかつ,1584,,
充溢,枯渇,こかつ,2791,,
横溢,枯渇,こかつ,3750,,
濃艶,枯淡,こたん,1564,1613,
覚醒,昏睡,こんすい,2792,,
峻別,混同,こんどう,2784,,
秩序,混沌,こんとん,2790,,
覚醒,催眠,さいみん,1494,,
晦日,朔日,さくじつ,2836,,
重大,些細,ささい,1460,,
膨大,些少,さしょう,1485,,
貫徹,挫折,ざせつ,1464,,
精緻,雑駁,ざっぱく,3778,,
陳腐,斬新,ざんしん,1553,3770,
旧套,斬新,ざんしん,2781,,
陳套,斬新,ざんしん,1583,,
常套,斬新,ざんしん,2812,,
嘲罵,讃嘆,さんたん,1533,,
緊張,弛緩,しかん,1488,,
硬直,弛緩,しかん,2811,,
遼遠,至近,しきん,2837,,
放縦,自制,じせい,2768,,
活用,死蔵,しぞう,1563,,
抽出,悉皆,しっかい,2835,,
称賛,叱責,しっせき,2834,,
回復,失墜,しっつい,1437,,
挽回,失墜,しっつい,1468,,
雄飛,雌伏,しふく,2841,,
露出,遮蔽,しゃへい,1505,,
旭日,斜陽,しゃよう,3773,,
枯渇,充溢,じゅういつ,2791,,
欣快,愁傷,しゅうしょう,1614,,
些細,重大,じゅうだい,1460,,
配下,首魁,しゅかい,2789,,
弔悼,祝賀,しゅくが,1560,,
一瞥,熟視,じゅくし,1581,,
還俗,出家,しゅっけ,1603,4112,
逗留,出立,しゅったつ,2787,2814,
剝奪,授与,じゅよ,1438,,
永劫,瞬間,しゅんかん,2765,,
快諾,峻拒,しゅんきょ,1509,,
坦夷,峻険,しゅんけん,3777,,
寛容,峻厳,しゅんげん,1467,,
着工,竣成,しゅんせい,1506,,
起工,竣成,しゅんせい,4116,,
枯渇,潤沢,じゅんたく,1584,,
逼迫,潤沢,じゅんたく,2783,,
混同,峻別,しゅんべつ,2784,,
違背,遵奉,じゅんぽう,1514,,
背馳,遵奉,じゅんぽう,2764,,
駄馬,駿馬,しゅんめ,3752,,
寛大,峻烈,しゅんれつ,2813,,
迂路,捷径,しょうけい,2762,,
悪罵,称賛,しょうさん,2818,,
叱責,称賛,しょうさん,2834,,
奇手,定石,じょうせき,1612,,
軒昂,消沈,しょうちん,3774,,
斬新,常套,じょうとう,2812,,
平安,擾乱,じょうらん,1556,,
浅瀬,深淵,しんえん,1542,,
贋作,真作,しんさく,1585,,
退嬰,進取,しんしゅ,1517,4113,
偽筆,真蹟,しんせき,1555,,
他人,親戚,しんせき,2838,,
停滞,進捗,しんちょく,1492,,
凝滞,進捗,しんちょく,2830,,
停頓,進展,しんてん,1604,,
凶兆,瑞祥,ずいしょう,3769,,
精密,杜撰,ずさん,1513,,
稗史,正史,せいし,2831,,
喧騒,静寂,せいじゃく,1442,,
強靱,脆弱,ぜいじゃく,1457,3747,
頑丈,脆弱,ぜいじゃく,1540,,
濃艶,清楚,せいそ,2782,,
雑駁,精緻,せいち,3778,,
杜撰,精密,せいみつ,1513,,
罵倒,絶賛,ぜっさん,2766,,
剝離,接着,せっちゃく,3749,,
永劫,刹那,せつな,1538,,
堅牢,繊弱,せんじゃく,3768,,
抑止,煽動,せんどう,2833,,
模糊,鮮明,せんめい,1537,,
鬱屈,爽快,そうかい,1606,,
獲得,喪失,そうしつ,2770,,
紅潮,蒼白,そうはく,1515,,
暗愚,聡明,そうめい,1534,,
愚昧,聡明,そうめい,1588,,
愚鈍,聡明,そうめい,4114,,
乱射,狙撃,そげき,1511,,
侮蔑,尊敬,そんけい,1561,,
冒瀆,尊崇,そんすう,1469,,
進取,退嬰,たいえい,1517,4113,
狼狽,泰然,たいぜん,2769,,
狭量,大度,たいど,1459,,
払暁,黄昏,たそがれ,1441,3753,
親戚,他人,たにん,2838,,
駿馬,駄馬,だば,3752,,
峻険,坦夷,たんい,3777,,
遅疑,断行,だんこう,1466,1611,
天神,地祇,ちぎ,1462,,
断行,遅疑,ちぎ,1466,1611,
蕩尽,蓄財,ちくざい,1559,,
蕩尽,蓄積,ちくせき,1601,,
混沌,秩序,ちつじょ,2790,,
竣成,着工,ちゃっこう,1506,,
悉皆,抽出,ちゅうしゅつ,2835,,
末梢,中枢,ちゅうすう,1491,3979,
宥免,懲戒,ちょうかい,1610,,
黙黙,喋喋,ちょうちょう,2786,,
祝賀,弔悼,ちょうとう,1560,,
讃嘆,嘲罵,ちょうば,1533,,
興隆,凋落,ちょうらく,1486,,
迂回,直進,ちょくしん,2794,2832,
斬新,陳套,ちんとう,1583,,
攪乱,鎮撫,ちんぶ,1461,,
斬新,陳腐,ちんぷ,1553,3770,
諫言,追従,ついしょう,1443,,
遁走,追跡,ついせき,3766,,
会心,痛恨,つうこん,1607,,
激賞,痛罵,つうば,1605,,
進捗,停滞,ていたい,1492,,
進展,停頓,ていとん,1604,,
抜錨,碇泊,ていはく,3772,,
還俗,剃髪,ていはつ,2815,,
地祇,天神,てんじん,1462,,
蓄財,蕩尽,とうじん,1559,,
蓄積,蕩尽,とうじん,1601,,
反駁,同調,どうちょう,1554,,
出立,逗留,とうりゅう,2787,2814,
敏捷,鈍重,どんじゅう,1590,,
還俗,遁世,とんせい,1586,,
追跡,遁走,とんそう,3766,,
強硬,軟弱,なんじゃく,3745,,
枯淡,濃艶,のうえん,1564,1613,
清楚,濃艶,のうえん,2782,,
首魁,配下,はいか,2789,,
正史,稗史,はいし,2831,,
遵奉,背馳,はいち,2764,,
庇護,迫害,はくがい,1463,,
僅少,莫大,ばくだい,1445,1510,
授与,剝奪,はくだつ,1438,,
付与,剝奪,はくだつ,1507,,
懸絶,伯仲,はくちゅう,1608,,
接着,剝離,はくり,3749,,
隠蔽,暴露,ばくろ,1558,,
弥縫,破綻,はたん,1446,2809,
碇泊,抜錨,ばつびょう,3772,,
絶賛,罵倒,ばとう,2766,,
失墜,挽回,ばんかい,1468,,
閑散,繁劇,はんげき,1557,,
同調,反駁,はんばく,1554,,
論難,反駁,はんばく,2840,,
迂遠,卑近,ひきん,1470,,
迫害,庇護,ひご,1463,,
欣悦,悲傷,ひしょう,1589,,
貴顕,微賤,びせん,3977,,
蓋然,必然,ひつぜん,2829,,
飛躍,逼塞,ひっそく,1487,,
潤沢,逼迫,ひっぱく,2783,,
破綻,弥縫,びほう,1446,2809,
逼塞,飛躍,ひやく,1487,,
不毛,肥沃,ひよく,1602,,
荒蕪,肥沃,ひよく,1535,1587,
鈍重,敏捷,びんしょう,1590,,
富貴,貧賤,ひんせん,3978,,
貧賤,富貴,ふうき,3978,,
謙抑,不遜,ふそん,2785,,
文治,武断,ぶだん,2793,,
黄昏,払暁,ふつぎょう,1441,3753,
尊敬,侮蔑,ぶべつ,1561,,
肥沃,不毛,ふもう,1602,,
剝奪,付与,ふよ,1507,,
武断,文治,ぶんち,2793,,
擾乱,平安,へいあん,1556,,
険阻,平坦,へいたん,1539,4115,
急峻,平坦,へいたん,1582,,
凝視,瞥見,べっけん,1489,,
公平,偏頗,へんぱ,1508,,
自制,放縦,ほうじゅう,2768,,
凶荒,豊稔,ほうじん,3776,,
些少,膨大,ぼうだい,1485,,
尊崇,冒瀆,ぼうとく,1469,,
干渉,放任,ほうにん,1518,,
没落,勃興,ぼっこう,1566,,
勃興,没落,ぼつらく,1566,,
中枢,末梢,まっしょう,1491,3979,
朔日,晦日,みそか,2836,,
晦渋,明快,めいかい,1536,,
模糊,明瞭,めいりょう,1439,,
該博,蒙昧,もうまい,2763,2817,
喋喋,黙黙,もくもく,2786,,
鮮明,模糊,もこ,1537,,
明瞭,模糊,もこ,1439,,
家禽,野鳥,やちょう,2842,,
果断,優柔,ゆうじゅう,3767,,
枯渇,湧出,ゆうしゅつ,1440,1562,
雌伏,雄飛,ゆうひ,2841,,
懲戒,宥免,ゆうめん,1610,,
汲汲,悠悠,ゆうゆう,3751,,
安堵,憂慮,ゆうりょ,3746,3980,
煽動,抑止,よくし,2833,,
厭世,楽天,らくてん,1541,,
狙撃,乱射,らんしゃ,1511,,
暗鬱,明朗,らんしゃ,1512,,
至近,遼遠,りょうえん,2837,,
激昂,冷静,れいせい,2839,,
魯鈍,怜利,れいり,2767,,
泰然,狼狽,ろうばい,2769,,
遮蔽,露出,ろしゅつ,1505,,
怜利,魯鈍,ろどん,2767,,
反駁,論難,ろんなん,2840,,
匡正,歪曲,わいきょく,2816,,
抗争,和睦,わぼく,3771,,
